Symbol,Approved.Symbol,chromosome
DCL-1,CD302,2
KIAA0022,CD302,2
CD302,CD302,2
CD320,CD320,19
TCII-R,CD320,19
SCD320,CD320,19
TCBLR,CD320,19
8D6A,CD320,19
TCN2R,CD320,19
8D6,CD320,19
FLJ00391,CD33,19
CD33,CD33,19
SIGLEC3,CD33,19
CD33RSIGLEC,CD33,19
SIGLEC-3,CD33,19
P67,CD33,19
CD34,CD34,1
FAT,CD36,7
GPIV,CD36,7
GP3B,CD36,7
GPIIIB,CD36,7
CD36,CD36,7
GP4,CD36,7
SCARB3,CD36,7
TSPAN26,CD37,19
CD37,CD37,19
CADPR1,CD38,4
CD38,CD38,4
CD3D,CD3D,11
CD3-DELTA,CD3D,11
T3D,CD3D,11
CD3DELTA,CD3D,11
CD3-EPSILON,CD3E,11
CD3EPSILON,CD3E,11
CD3E,CD3E,11
CD3GAMMA,CD3G,11
CD3G,CD3G,11
CD3-GAMMA,CD3G,11
T4,CD4,12
LEU-3,CD4,12
CD4,CD4,12
BP50,CD40,20
CD40,CD40,20
TNFRSF5,CD40,20
P50,CD40,20
CD40-L,CD40LG,X
IMD3,CD40LG,X
HIGM1,CD40LG,X
CD40LG,CD40LG,X
TRAP,CD40LG,X
CD40L,CD40LG,X
GP39,CD40LG,X
CD154,CD40LG,X
T-BAM,CD40LG,X
TNFSF5,CD40LG,X
HCD40L,CD40LG,X
CD44R,CD44,11
HERMES-1,CD44,11
HCELL,CD44,11
H-CAM,CD44,11
ECM-III,CD44,11
CSPG8,CD44,11
PGP1,CD44,11
MC56,CD44,11
PGP-1,CD44,11
MDU2,CD44,11
CD44,CD44,11
MDU3,CD44,11
IN,CD44,11
HUTCH-1,CD44,11
CDW44,CD44,11
MIC4,CD44,11
HUTCH-I,CD44,11
RP1-68D18.4,CD44-AS1,11
CD44-AS1,CD44-AS1,11
HLINFRNA5,CD44-AS1,11
CD44-DT,CD44-DT,11
MIC10,CD46,1
TRA2.10,CD46,1
TLX,CD46,1
CD46,CD46,1
MCP,CD46,1
MGC26544,CD46,1
CD46P1,CD46P1,1
CD46P,CD46P1,1
MCPL,CD46P1,1
OA3,CD47,3
IAP,CD47,3
MER6,CD47,3
CD47,CD47,3
SLAMF2,CD48,1
BLAST,CD48,1
HCD48,CD48,1
CD48,CD48,1
BCM1,CD48,1
MCD48,CD48,1
LEU1,CD5,11
T1,CD5,11
CD5,CD5,11
HE5,CD52,1
EDDM5,CD52,1
CDW52,CD52,1
CD52,CD52,1
CD53,CD53,1
MOX44,CD53,1
TSPAN25,CD53,1
CD55,CD55,1
CROM,CD55,1
DAF,CD55,1
CR,CD55,1
TC,CD55,1
CD58,CD58,1
LFA3,CD58,1
MIN3,CD59,11
EJ16,CD59,11
MSK21,CD59,11
EJ30,CD59,11
MIRL,CD59,11
HRF20,CD59,11
MIN2,CD59,11
CD59,CD59,11
P18-20,CD59,11
MACIF,CD59,11
G344,CD59,11
MIN1,CD59,11
16.3A5,CD59,11
EL32,CD59,11
MIC11,CD59,11
SPALPHA,CD5L,1
API6,CD5L,1
CD5L,CD5L,1
CD6,CD6,11
TP120,CD6,11
TSPAN30,CD63,12
PLTGP40,CD63,12
CD63,CD63,12
HOP-26,CD63,12
MLA1,CD63,12
AD1,CD63,12
ME491,CD63,12
CEAM,CD63-AS1,12
CD63-AS1,CD63-AS1,12
LAMP4,CD68,17
DKFZP686M18236,CD68,17
SCARD1,CD68,17
GP110,CD68,17
CD68,CD68,17
CLEC2C,CD69,12
CD69,CD69,12
GP40,CD7,17
TP40,CD7,17
TP41,CD7,17
CD7,CD7,17
LEU-9,CD7,17
CD27L,CD70,19
CD70,CD70,19
CD27-L,CD70,19
TNFSF7,CD70,19
CD27LG,CD70,19
LYB2,CD72,9
CD72B,CD72,9
CD72,CD72,9
DHLAG,CD74,5
CD74,CD74,5
CLIP,CD74,5
IG-ALPHA,CD79A,19
IGA,CD79A,19
CD79A,CD79A,19
MB-1,CD79A,19
IGALPHA,CD79A,19
MB1,CD79A,19
CD79B,CD79B,17
B29,CD79B,17
IG-BETA,CD79B,17
IGBETA,CD79B,17
IGB,CD79B,17
CD80,CD80,3
B7-1,CD80,3
CD28LG,CD80,3
CD28LG1,CD80,3
B7.1,CD80,3
TSPAN28,CD81,11
TAPA-1,CD81,11
S5.7,CD81,11
TAPA1,CD81,11
CD81,CD81,11
CD81-AS1,CD81-AS1,11
TSPAN27,CD82,11
KAI1,CD82,11
CD82,CD82,11
ST6,CD82,11
IA4,CD82,11
R2,CD82,11
CD82-AS1,CD82-AS1,11
BL11,CD83,6
HB15,CD83,6
CD83,CD83,6
CD83P,CD83P1,6
CD83P1,CD83P1,6
HB15P,CD83P1,6
B34I8.3,CD83P1,6
MCD84,CD84,1
HCD84,CD84,1
CD84,CD84,1
SLAMF5,CD84,1
CD84P1,CD84P1,X
CD86,CD86,3
CD28LG2,CD86,3
B7-2,CD86,3
B7.2,CD86,3
P32,CD8A,2
CD8A,CD8A,2
CD8,CD8A,2
CD8ALPHA,CD8A,2
LY-3,CD8B,2
CD8BETA,CD8B,2
LYT3,CD8B,2
CD8B,CD8B,2
CD8B1,CD8B,2
P37,CD8B,2
CD8BP,CD8B2,2
CD8B2,CD8B2,2
BA2,CD9,12
MRP-1,CD9,12
MIC3,CD9,12
P24,CD9,12
CD9,CD9,12
TSPAN29,CD9,12
ECSM3,CD93,20
C1QRP,CD93,20
CD93,CD93,20
CDW93,CD93,20
C1QR(P),CD93,20
MXRA4,CD93,20
C1QR1,CD93,20
DJ737E23.1,CD93,20
CD96,CD96,3
TACTILE,CD96,3
MIC2Y,CD99,X
MIC2,CD99,X
MIC2X,CD99,X
CD99,CD99,X
MIC2L1,CD99L2,X
CD99L2,CD99L2,X
CD99B,CD99L2,X
CD99L1,CD99P1,X
CXYorf12,CD99P1,X
NCRNA00103,CD99P1,X
MIC2R,CD99P1,X
CD99P1,CD99P1,X
CDA,CDA,1
CDD,CDA,1
CDADC1,CDADC1,13
NYD-SP15,CDADC1,13
CDA-I,CDAN1,15
CDAI,CDAN1,15
CDAN1,CDAN1,15
CDC123,CDC123,10
C10orf7,CDC123,10
D123,CDC123,10
CDC14,CDC14A,1
DFNB105,CDC14A,1
CDC14A,CDC14A,1
DFNB32,CDC14A,1
CDC14A1,CDC14A,1
CDC14A2,CDC14A,1
CDC14B1,CDC14B,9
CDC14B3,CDC14B,9
CDC14B,CDC14B,9
HCDC14B,CDC14B,9
CDC14B2,CDC14B,9
CDC14B2,CDC14C,7
CDC14CP,CDC14C,7
CDC14BRETRO,CDC14C,7
CDC14C,CDC14C,7
MGC26484,CDC14C,7
CDC16,CDC16,13
ANAPC6,CDC16,13
CUT9,CDC16,13
APC6,CDC16,13
P55CDC,CDC20,1
CDC20A,CDC20,1
CDC20,CDC20,1
CDC20-DT,CDC20-DT,1
CDC20B,CDC20B,5
FLJ37927,CDC20B,5
CDC20P1,CDC20P1,9
OTTHUMG00000020142,CDC20P1,9
CDC20P,CDC20P1,9
ANAPC8,CDC23,5
CDC23,CDC23,5
CUT23,CDC23,5
APC8,CDC23,5
CDC25A,CDC25A,3
CDC25B,CDC25B,20
PPP1R60,CDC25C,5
CDC25C,CDC25C,5
CDC25,CDC25C,5
APC12,CDC26,9
CDC26,CDC26,9
C9orf17,CDC26,9
ANAPC12,CDC26,9
CDC26P1,CDC26P1,7
TCAG_1970866,CDC26P1,7
CDC26P,CDC26P1,7
D0S1430E,CDC27,17
APC3,CDC27,17
D17S978E,CDC27,17
CDC27,CDC27,17
ANAPC3,CDC27,17
NUC2,CDC27,17
CDC27P1,CDC27P1,2
CDC27P10,CDC27P10,21
CDC27P11,CDC27P11,21
CDC27P2,CDC27P2,Y
CDC27P3,CDC27P3,20
CDC27P4,CDC27P4,20
CDC27P5,CDC27P5,20
CDC27P6,CDC27P6,14
CDC27P7,CDC27P7,22
CDC27P8,CDC27P8,22
CDC27P9,CDC27P9,21
UBE2R1,CDC34,19
CDC34,CDC34,19
E2-CDC34,CDC34,19
UBC3,CDC34,19
CDC37,CDC37,19
P50CDC37,CDC37,19
HARC,CDC37L1,9
CDC37L1,CDC37L1,9
CDC37B,CDC37L1,9
FLJ20639,CDC37L1,9
CDC37L1-AS1,CDC37L1-DT,9
CDC37L1-DT,CDC37L1-DT,9
A-761H5.2,CDC37P1,16
CDC37P1,CDC37P1,16
CDC37P2,CDC37P2,16
CDC40,CDC40,6
EHB3,CDC40,6
PRP17,CDC40,6
FLJ10564,CDC40,6
PRPF17,CDC40,6
CDC42,CDC42,1
G25K,CDC42,1
CDC42HS,CDC42,1
CDC42-AS1,CDC42-AS1,1
CDC42-IT1,CDC42-IT1,1
CDC42BPA,CDC42BPA,1
MRCKA,CDC42BPA,1
KIAA0451,CDC42BPA,1
FLJ23347,CDC42BPA,1
MRCKALPHA,CDC42BPA,1
PK428,CDC42BPA,1
CDC42BPB,CDC42BPB,14
MRCKB,CDC42BPB,14
KIAA1124,CDC42BPB,14
KAPPA-200,CDC42BPG,11
DMPK2,CDC42BPG,11
CDC42BPG,CDC42BPG,11
HSMDPKIN,CDC42BPG,11
MRCKGAMMA,CDC42BPG,11
BORG5,CDC42EP1,22
CEP1,CDC42EP1,22
MSE55,CDC42EP1,22
CDC42EP1,CDC42EP1,22
BORG1,CDC42EP2,11
CEP2,CDC42EP2,11
CDC42EP2,CDC42EP2,11
UB1,CDC42EP3,2
BORG2,CDC42EP3,2
CEP3,CDC42EP3,2
CDC42EP3,CDC42EP3,2
CDC42EP3-AS1,CDC42EP3-AS1,2
LINC03063,CDC42EP3-AS1,2
AC006369.1,CDC42EP3-AS1,2
CDC42EP3P1,CDC42EP3P1,19
MGC17125,CDC42EP4,17
KAIA1777,CDC42EP4,17
CEP4,CDC42EP4,17
BORG4,CDC42EP4,17
MGC3740,CDC42EP4,17
CDC42EP4,CDC42EP4,17
CEP5,CDC42EP5,19
BORG3,CDC42EP5,19
CDC42EP5,CDC42EP5,19
BK3216D2.3,CDC42P1,20
CDC42P1,CDC42P1,20
CDC42P2,CDC42P2,7
CDC42P3,CDC42P3,8
CDC42P4,CDC42P4,4
CDC42P5,CDC42P5,5
CDC42P6,CDC42P6,4
CDC42P7,CDC42P7,3
CDC42SE1,CDC42SE1,1
SPEC1,CDC42SE1,1
SCIP1,CDC42SE1,1
SPEC2,CDC42SE2,5
FLJ21967,CDC42SE2,5
CDC42SE2,CDC42SE2,5
CDC45,CDC45,22
CDC45L,CDC45,22
CDC45L2,CDC45,22
CDC5,CDC5L,6
CEF1,CDC5L,6
PCDC5RP,CDC5L,6
CDC5L,CDC5L,6
HCDC5,CDC5L,6
CDC18L,CDC6,17
CDC6,CDC6,17
HUCDC7,CDC7,1
CDC7L1,CDC7,1
HSCDC7,CDC7,1
HSK1,CDC7,1
CDC7,CDC7,1
C1orf28,CDC73,1
FIHP,CDC73,1
PARAFIBROMIN,CDC73,1
HRPT2,CDC73,1
CDC73,CDC73,1
HRPT1,CDC73,1
CDCA2,CDCA2,8
REPO-MAN,CDCA2,8
PPP1R81,CDCA2,8
GRCC8,CDCA3,12
CDCA3,CDCA3,12
TOME-1,CDCA3,12
LNCCDCA3L,CDCA3P1,7
CDCA3P1,CDCA3P1,7
FLJ20764,CDCA4,14
CDCA4,CDCA4,14
HEPP,CDCA4,14
CDCA4P1,CDCA4P1,9
CDCA4P2,CDCA4P2,1
CDCA4P3,CDCA4P3,1
CDCA4P4,CDCA4P4,1
CDCA5,CDCA5,11
CDCA7,CDCA7,2
JPO1,CDCA7,2
FLJ14736,CDCA7,2
RAM2,CDCA7L,7
R1,CDCA7L,7
CDCA7L,CDCA7L,7
JPO2,CDCA7L,7
CDCA7P1,CDCA7P1,6
CDCA7P2,CDCA7P2,9
MESRGP,CDCA8,1
CDCA8,CDCA8,1
BOR,CDCA8,1
DASRAB,CDCA8,1
FLJ12042,CDCA8,1
SIMA135,CDCP1,3
CD318,CDCP1,3
CDCP1,CDCP1,3
CDCP2,CDCP2,1
UVO,CDH1,16
CD324,CDH1,16
UVOMORULIN,CDH1,16
CDH1,CDH1,16
CDH10,CDH10,5
CDH11,CDH11,16
OB,CDH11,16
CAD11,CDH11,16
CDH12,CDH12,5
CDHB,CDH12,5
BR-CADHERIN,CDH12,5
CDH12P1,CDH12P1,5
CDH12P,CDH12P2,5
C41-CAD,CDH12P2,5
CDH12P2,CDH12P2,5
CDH12P3,CDH12P3,5
CDH12P4,CDH12P4,5
CDH13,CDH13,16
CDHH,CDH13,16
RP11-543N12.1,CDH13-AS1,16
CDH13-AS1,CDH13-AS1,16
CDH13-AS2,CDH13-AS2,16
CDH3,CDH15,16
CDH14,CDH15,16
CDH15,CDH15,16
CDH16,CDH16,16
CDH17,CDH17,8
HPT-1,CDH17,8
CADHERIN,CDH17,8
CDH18,CDH18,5
EY-CADHERIN,CDH18,5
CDH14,CDH18,5
CDH18-AS1,CDH18-AS1,5
CDH7,CDH19,18
CDH19,CDH19,18
CD325,CDH2,18
CDH2,CDH2,18
NCAD,CDH2,18
CDHN,CDH2,18
CDH2-AS1,CDH2-AS1,18
CDH20,CDH20,18
CDH7L3,CDH20,18
CDH7,CDH20,18
DJ998H6.1,CDH22,20
C20orf25,CDH22,20
CDH22,CDH22,20
DFNB12,CDH23,10
CDH23,CDH23,10
CDHR23,CDH23,10
USH1D,CDH23,10
C10orf106,CDH23-AS1,10
NCRNA00223,CDH23-AS1,10
BA327E2.3,CDH23-AS1,10
CDH23-AS1,CDH23-AS1,10
CDH11L,CDH24,14
CDH24,CDH24,14
VR20,CDH26,20
CDH26,CDH26,20
PCAD,CDH3,16
CDHP,CDH3,16
CDH3,CDH3,16
CDH3-AS1,CDH3-AS1,16
CDH4,CDH4,20
R-CAD,CDH4,20
CDH4-AS1,CDH4-AS1,20
CDH4-AS2,CDH4-AS2,20
CD144,CDH5,16
7B4,CDH5,16
CDH5,CDH5,16
CDH6,CDH6,5
CDH7,CDH7,18
CDH8,CDH8,16
CDH8-AS1,CDH8-AS1,16
CDH9,CDH9,5
PCDH21,CDHR1,10
RP65,CDHR1,10
KIAA1775,CDHR1,10
CDHR1,CDHR1,10
CORD15,CDHR1,10
CDHR17P,CDHR17P,7
CDHR18P,CDHR18P,3
PCDH24,CDHR2,5
PCLKC,CDHR2,5
FLJ20124,CDHR2,5
FLJ20383,CDHR2,5
PC-LKC,CDHR2,5
CDHR2,CDHR2,5
CDHR3,CDHR3,7
FLJ44366,CDHR3,7
FLJ23834,CDHR3,7
CDH28,CDHR3,7
CDHR4,CDHR4,3
CDH29,CDHR4,3
VLLR9392,CDHR4,3
CDHR5,CDHR5,11
MUCDHL,CDHR5,11
MUPCDH,CDHR5,11
FLJ20219,CDHR5,11
MU-PCDH,CDHR5,11
HH114,CDIN1,15
CDIN1,CDIN1,15
FLJ22851,CDIN1,15
MGC11326,CDIN1,15
C15orf41,CDIN1,15
CDIP1,CDIP1,16
LITAFL,CDIP1,16
CDIP,CDIP1,16
C16orf5,CDIP1,16
PIS,CDIPT,16
CDIPT,CDIPT,16
PIS1,CDIPT,16
CDIPT-AS1,CDIPTOSP,16
LNC-CTHCC,CDIPTOSP,16
CDIPTOSP,CDIPTOSP,16
CDC28A,CDK1,10
CDK1,CDK1,10
CDC2,CDK1,10
PISSLRE,CDK10,16
CDK10,CDK10,16
CDC2L2,CDK11A,1
CDK11-P110,CDK11A,1
PITSLRE,CDK11A,1
CDC2L3,CDK11A,1
CDK11-P58,CDK11A,1
CDK11-P46,CDK11A,1
CDK11A,CDK11A,1
P58GTA,CDK11A,1
CDK11-P46,CDK11B,1
CDC2L1,CDK11B,1
CDK11-P110,CDK11B,1
CDK11-P58,CDK11B,1
CDK11B,CDK11B,1
CDK12,CDK12,17
CRKRS,CDK12,17
KIAA0904,CDK12,17
CRKR,CDK12,17
CRK7,CDK12,17
CDC2L5,CDK13,7
CDK13,CDK13,7
KIAA1791,CDK13,7
CDC2L,CDK13,7
CHED,CDK13,7
AC072061.1,CDK13-DT,7
CDK13-DT,CDK13-DT,7
PFTAIRE1,CDK14,7
CDK14,CDK14,7
PFTK1,CDK14,7
ALS2CR7,CDK15,2
PFTAIRE2,CDK15,2
PFTK2,CDK15,2
CDK15,CDK15,2
PCTGAIRE,CDK16,X
PCTK1,CDK16,X
PCTAIRE1,CDK16,X
CDK16,CDK16,X
FLJ16665,CDK16,X
PCTAIRE,CDK16,X
CDK17,CDK17,12
PCTAIRE2,CDK17,12
PCTK2,CDK17,12
PCTK3,CDK18,1
PCTAIRE3,CDK18,1
CDK18,CDK18,1
CDK11,CDK19,6
KIAA1028,CDK19,6
BA346C16.3,CDK19,6
CDK19,CDK19,6
CDC2L6,CDK19,6
CDK2,CDK2,12
CDK20,CDK20,9
CCRK,CDK20,9
PNQALRE,CDK20,9
P42,CDK20,9
CDK2AP1,CDK2AP1,12
DOC1,CDK2AP1,12
P12DOC-1,CDK2AP1,12
DOC-1,CDK2AP1,12
ST19,CDK2AP1,12
DORC1,CDK2AP1,12
CDK2AP1P1,CDK2AP1P1,3
DOC-1R,CDK2AP2,11
CDK2AP2,CDK2AP2,11
P14,CDK2AP2,11
CDK2AP2P1,CDK2AP2P1,9
CDK2AP2P2,CDK2AP2P2,9
CDK2AP2P3,CDK2AP2P3,9
CDK3,CDK3,17
PSK-J3,CDK4,12
CDK4,CDK4,12
CDK4PS,CDK4P1,1
CDK4P1,CDK4P1,1
PSSALRE,CDK5,7
CDK5,CDK5,7
CDK5PS,CDK5P1,8
CDK5P1,CDK5P1,8
P35,CDK5R1,17
NCK5A,CDK5R1,17
P35NCK5A,CDK5R1,17
CDK5R1,CDK5R1,17
P39,CDK5R2,2
CDK5R2,CDK5R2,2
P39NCK5AI,CDK5R2,2
NCK5AI,CDK5R2,2
CDK5R2-AS1,CDK5R2-AS1,2
LINC01494,CDK5R2-AS1,2
CDK5RAP1,CDK5RAP1,20
C42,CDK5RAP1,20
HSPC167,CDK5RAP1,20
CGI-05,CDK5RAP1,20
C20orf34,CDK5RAP1,20
C48,CDK5RAP2,9
CDK5RAP2,CDK5RAP2,9
FLJ10867,CDK5RAP2,9
MCPH3,CDK5RAP2,9
CEP215,CDK5RAP2,9
MST016,CDK5RAP3,17
LZAP,CDK5RAP3,17
IC53,CDK5RAP3,17
HSF-27,CDK5RAP3,17
OK/SW-CL.114,CDK5RAP3,17
CDK5RAP3,CDK5RAP3,17
C53,CDK5RAP3,17
FLJ13660,CDK5RAP3,17
CDK5RAP3P1,CDK5RAP3P1,20
PLSTIRE,CDK6,7
CDK6,CDK6,7
CDK6-AS1,CDK6-AS1,7
BALR-2,CDK6-AS1,7
MO15,CDK7,5
STK1,CDK7,5
CAK1,CDK7,5
CDKN7,CDK7,5
CAK,CDK7,5
CDK7,CDK7,5
CDK7PS,CDK7P1,2
CDK7P1,CDK7P1,2
K35,CDK8,13
CDK8,CDK8,13
CDK8P1,CDK8P1,2
CDK8PS,CDK8P1,2
CDK8P2,CDK8P2,2
C-2K,CDK9,9
CDK9,CDK9,9
CDC2L4,CDK9,9
PITALRE,CDK9,9
TAK,CDK9,9
CDKAL1,CDKAL1,6
FLJ20342,CDKAL1,6
CDKL1,CDKL1,14
KKIALRE,CDKL1,14
CDKL2,CDKL2,4
KKIAMRE,CDKL2,4
P56,CDKL2,4
NKIAMRE,CDKL3,5
CDKL3,CDKL3,5
CDKL4,CDKL4,2
EIEE2,CDKL5,X
CFAP247,CDKL5,X
STK9,CDKL5,X
CDKL5,CDKL5,X
P21,CDKN1A,6
P21CIP1,CDKN1A,6
P21CIP1/WAF1,CDKN1A,6
CDKN1A,CDKN1A,6
CDKN1,CDKN1A,6
WAF1,CDKN1A,6
CAP20,CDKN1A,6
CIP1,CDKN1A,6
SDI1,CDKN1A,6
P21NAT,CDKN1A-AS1,6
CDKN1A-AS1,CDKN1A-AS1,6
P27KIP1,CDKN1B,12
KIP1,CDKN1B,12
CDKN1B,CDKN1B,12
CDKN1C,CDKN1C,11
BWS,CDKN1C,11
P57,CDKN1C,11
BWCR,CDKN1C,11
KIP2,CDKN1C,11
MTS1,CDKN2A,9
P19ARF,CDKN2A,9
ARF,CDKN2A,9
CMM2,CDKN2A,9
P14ARF,CDKN2A,9
INK4,CDKN2A,9
CDK4I,CDKN2A,9
CAI2,CDKN2A,9
CDKN2,CDKN2A,9
P16-INK4A,CDKN2A,9
P19,CDKN2A,9
MLM,CDKN2A,9
P16INK4A,CDKN2A,9
CDKN2A,CDKN2A,9
P16,CDKN2A,9
P14,CDKN2A,9
INK4A,CDKN2A,9
BA149I2.3,CDKN2A-AS1,9
C9orf53,CDKN2A-AS1,9
CDKN2A-AS1,CDKN2A-AS1,9
CDKN2A-DT,CDKN2A-AS1,9
FLJ20036,CDKN2AIP,4
CDKN2AIP,CDKN2AIP,4
CARF,CDKN2AIP,4
MGC13017,CDKN2AIPNL,5
C2AIL,CDKN2AIPNL,5
CDKN2AIPNL,CDKN2AIPNL,5
CDKN2AIPNLP1,CDKN2AIPNLP1,1
CDKN2AIPNLP2,CDKN2AIPNLP2,2
CDKN2AIPNLP3,CDKN2AIPNLP3,13
P15INK4B,CDKN2B,9
CDK4I,CDKN2B,9
CDKN2B,CDKN2B,9
P15,CDKN2B,9
INK4B,CDKN2B,9
MTS2,CDKN2B,9
TP15,CDKN2B,9
RP11-145E5.4,CDKN2B-AS1,9
P15AS,CDKN2B-AS1,9
NCRNA00089,CDKN2B-AS1,9
CDKN2B-AS,CDKN2B-AS1,9
ANRIL,CDKN2B-AS1,9
PCAT12,CDKN2B-AS1,9
CDKN2BAS,CDKN2B-AS1,9
CDKN2B-AS1,CDKN2B-AS1,9
CDKN2C,CDKN2C,1
INK4C,CDKN2C,1
P18,CDKN2C,1
INK4D,CDKN2D,19
CDKN2D,CDKN2D,19
P19,CDKN2D,19
KAP,CDKN3,14
CDKN3,CDKN3,14
CDI1,CDKN3,14
CDNF,CDNF,10
ARMETL1,CDNF,10
CDO1,CDO1,5
CDON,CDON,11
CDO,CDON,11
ORCAM,CDON,11
CDON1,CDON,11
IHOG,CDON,11
C22orf40,CDPF1,22
CDPF1,CDPF1,22
CDKN1A,CDPF1,22
CDPF1P1,CDPF1P1,2
CDR62A,CDR1,X
CDR1,CDR1,X
CDR34,CDR1,X
CDR,CDR1,X
YO,CDR2,16
CDR62,CDR2,16
CDR2,CDR2,16
CDR2-DT,CDR2-DT,16
CDR2L,CDR2L,17
HUMPPA,CDR2L,17
CDRT10,CDRT10,17
CDRT11,CDRT11,17
CDRT12,CDRT12,17
CDRT13,CDRT13,17
CDRT15,CDRT15,17
CDRT15L2,CDRT15L2,17
CDRT15P1,CDRT15P1,17
CDRT15P,CDRT15P1,17
CDRT15P10,CDRT15P10,Y
C2orf27AP1,CDRT15P10,Y
CDRT15P11,CDRT15P11,4
CDRT15P12,CDRT15P12,9
CDRT15P13,CDRT15P13,14
CDRT15P14,CDRT15P14,9
C2orf27AP3,CDRT15P14,9
CDRT15L1,CDRT15P2,17
CDRT15P2,CDRT15P2,17
C2orf27B,CDRT15P3,2
MGC50273,CDRT15P3,2
CDRT15P3,CDRT15P3,2
CDRT15P4,CDRT15P4,2
CDRT15P5,CDRT15P5,9
C2orf27AP2,CDRT15P5,9
CDRT15P6,CDRT15P6,9
CDRT15P7,CDRT15P7,9
CDRT15P8,CDRT15P8,21
CDRT15P9,CDRT15P9,21
CDRT2,CDRT2,17
CDRT3,CDRT3,17
CDRT4,CDRT4,17
FLJ36674,CDRT4,17
CDRT5,CDRT5,17
NCRNA00025,CDRT7,17
CDRT7,CDRT7,17
LINC00025,CDRT7,17
CDRT8,CDRT8,17
CDS1,CDS1,4
CDS2,CDS2,20
D6S586E,CDSN,6
CDSN,CDSN,6
RIS2,CDT1,16
CDT1,CDT1,16
DUP,CDT1,16
CDV3,CDV3,3
H41,CDV3,3
CDV3P1,CDV3P1,3
CDX1,CDX1,5
CDX3,CDX2,13
CDX2,CDX2,13
CDX4,CDX4,X
CDY1,CDY1,Y
CDY1A,CDY1,Y
CDY10P,CDY10P,Y
CDY11P,CDY11P,Y
CDY12P,CDY12P,Y
CDY13P,CDY13P,Y
CDY14P,CDY14P,Y
CDY15P,CDY15P,Y
CDY16P,CDY16P,Y
CDY17P,CDY17P,Y
CDY18P,CDY18P,Y
CDY19P,CDY19P,Y
CDY1B,CDY1B,Y
CDY20P,CDY20P,Y
CDY21P,CDY21P,Y
CDY22P,CDY22P,Y
CDY23P,CDY23P,Y
CDY2,CDY2A,Y
CDY2A,CDY2A,Y
CDY,CDY2B,Y
CDY2B,CDY2B,Y
CDY3P,CDY3P,Y
CDY4P,CDY4P,Y
CDY5P,CDY5P,Y
CDY6P,CDY6P,Y
CDY7P,CDY7P,Y
CDY8P,CDY8P,Y
CDY9P,CDY9P,Y
CDYL,CDYL,6
CDYL1,CDYL,6
DKFZP586C1622,CDYL,6
CDYL-AS1,CDYL-AS1,6
CDYL2,CDYL2,16
FLJ38866,CDYL2,16
CDYLP1,CDYLP1,3
CEACAM1,CEACAM1,19
BGP1,CEACAM1,19
BGP,CEACAM1,19
CD66A,CEACAM1,19
CEACAM16,CEACAM16,19
DFNA4B,CEACAM16,19
CEACAM16-AS1,CEACAM16-AS1,19
CEACAM18,CEACAM18,19
CEAL1,CEACAM19,19
CEACAM19,CEACAM19,19
CEACAM20,CEACAM20,19
UNQ9366,CEACAM20,19
FLJ13540,CEACAM21,19
CEACAM21,CEACAM21,19
R29124_1,CEACAM21,19
CEACAM22P,CEACAM22P,19
CEACAM3,CEACAM3,19
CD66D,CEACAM3,19
CGM1,CEACAM3,19
CGM1A,CEACAM3,19
CGM7,CEACAM4,19
CEACAM4,CEACAM4,19
CD66E,CEACAM5,19
CEACAM5,CEACAM5,19
CEA,CEACAM5,19
CEACAM6,CEACAM6,19
NCA,CEACAM6,19
CD66C,CEACAM6,19
NCA-50/90,CEACAM6,19
CEA,CEACAM7,19
CGM2,CEACAM7,19
CEACAM7,CEACAM7,19
CGM6,CEACAM8,19
CD66B,CEACAM8,19
CEACAM8,CEACAM8,19
CEACAMP1,CEACAMP1,19
CGM8,CEACAMP1,19
CEACAMP10,CEACAMP10,19
CGM17,CEACAMP10,19
CGM18,CEACAMP11,19
CEACAMP11,CEACAMP11,19
CGM9,CEACAMP2,19
CEACAMP2,CEACAMP2,19
CGM10,CEACAMP3,19
CEACAM24P,CEACAMP3,19
CEACAMP3,CEACAMP3,19
CGM11,CEACAMP4,19
CEACAMP4,CEACAMP4,19
CEACAMP5,CEACAMP5,19
CGM12,CEACAMP5,19
CEACAMP6,CEACAMP6,19
CGM13,CEACAMP6,19
CGM14,CEACAMP7,19
CEACAMP7,CEACAMP7,19
CGM15,CEACAMP8,19
CEACAMP8,CEACAMP8,19
CGM16,CEACAMP9,19
CEACAMP9,CEACAMP9,19
CEBP,CEBPA,19
C/EBP-ALPHA,CEBPA,19
CEBPA,CEBPA,19
CEBPA-AS1,CEBPA-DT,19
ADINR,CEBPA-DT,19
CEBPA-DT,CEBPA-DT,19
IL6DBP,CEBPB,20
NFIL6,CEBPB,20
TCF5,CEBPB,20
LAP,CEBPB,20
CEBPB,CEBPB,20
C/EBP-BETA,CEBPB,20
CRP2,CEBPB,20
CEBPB-AS1,CEBPB-AS1,20
CRP3,CEBPD,8
NF-IL6-BETA,CEBPD,8
C/EBP-DELTA,CEBPD,8
CELF,CEBPD,8
CEBPD,CEBPD,8
CRP1,CEBPE,14
CEBPE,CEBPE,14
IG/EBP-1,CEBPG,19
GPE1BP,CEBPG,19
CEBPG,CEBPG,19
CEBPZ,CEBPZ,2
HSP-CBF,CEBPZ,2
CBF2,CEBPZ,2
CTF2,CEBPZ,2
CEBPZ-AS1,CEBPZOS,2
